Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,futures_price
HDFCBANK,24-Nov-17,30-Nov-17,CE,1540,0,0,0,261.4,0,313,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1560,0,0,0,242.3,0,293,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1580,0,0,0,223.45,0,273.05,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1600,0,0,0,204,204,253.05,0,0,0,13000,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1620,0,0,0,186.75,0,233.1,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1640,0,0,0,169.1,0,213.1,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1660,0,0,0,143,143,193.1,0,0,0,4000,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1680,0,0,0,122,122,173.15,0,0,0,2500,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1700,0,0,0,138,138,153.15,0,0,0,8500,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1720,0,0,0,81.8,81.8,133.2,0,0,0,1500,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1740,0,0,0,65,65,113.2,0,0,0,4500,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1760,77.2,77.2,77.2,77.2,77.2,77.2,1,9.19,0.39,19500,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1780,0,0,0,73,73,73.45,0,0,0,15000,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1800,50,61.8,49,60.85,61.6,60.85,16,148.24,4.24,193000,-5000,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1820,33,39.95,31.5,38.8,39.95,38.8,41,380.47,7.37,131000,-6500,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1840,15,26,15,22.35,25.5,22.35,567,5270.06,53.66,186500,-49500,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1860,8.35,13,7.85,10.95,13,10.95,757,7076.43,36.33,336500,8500,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1880,5,7,4.3,5.7,7,5.7,314,2959.08,7.48,306500,-5000,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1900,3.15,3.3,2.65,3.15,3.25,3.15,372,3539.29,5.29,584000,-48000,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1920,2.15,2.15,1.9,1.95,2,1.95,59,566.98,0.58,74000,-7500,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1940,1.75,1.8,1.5,1.6,1.7,1.6,198,1922.2,1.6,127500,-23000,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1960,1.5,1.5,1.5,1.5,1.5,1.5,2,19.62,0.02,32000,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1980,0,0,0,2,2,0,0,0,0,17000,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,2000,0.95,1.05,0.7,0.9,1,0.9,56,560.27,0.27,271500,-14000,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,2020,0.7,0.9,0.7,0.9,0.9,0.9,3,30.31,0.01,55000,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,2040,0,0,0,2.25,2.25,0,0,0,0,85000,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,CE,1400,0,0,0,398.25,0,452.85,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,PE,1380,0,0,0,0.05,0,0,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,PE,2060,0,0,0,254.35,0,206.5,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,PE,1420,0,0,0,0.05,0,0,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,PE,1440,0,0,0,0.1,0,0,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,PE,1460,0,0,0,0.15,0,0,0,0,0,0,0,1857.35
HDFCBANK,24-Nov-17,30-Nov-17,PE,1480,0,0,0,0.25,0,0,0,0,0,0,0,1857.35
